initial_speed,initial_angle,max_range,max_height
30,66,68.24799418,38.32187617
30,68,63.79515647,39.47463827
30,70,59.03151518,40.54693875
30,72,53.98027827,41.53355344
30,74,48.66605488,42.42967568
30,76,43.11473536,43.23093963
30,78,37.35336518,43.93344163
30,80,31.41001316,44.53375915
30,82,25.31363472,45.02896751
30,84,19.09393079,45.4166541
30,86,12.78120315,45.69493015
30,88,6.406206772,45.86243993
30,90,0,45.91836735
40,2,11.38881204,0.09942652
40,4,22.72213893,0.397221684
40,6,33.94476585,0.891934664
40,8,45.00201728,1.581155268
40,10,55.8400234,2.461525682
40,12,66.40598254,3.528756831
40,14,76.64841841,4.777649271
40,16,86.5174309,6.202118524
40,18,95.96493915,7.795224719
40,20,104.9449159,9.549206403
40,22,113.4136115,11.45551835
40,24,121.3297674,13.50487321
40,26,128.6548169,15.68728672
40,28,135.3530731,17.99212639
40,30,141.3919027,20.40816327
40,32,146.7418851,22.92362666
40,34,151.3769558,25.52626149
40,36,155.2745333,28.20338798
40,38,158.4156288,30.94196344
40,40,160.7849393,33.72864581
40,42,162.3709217,36.54985864
40,44,163.1658493,39.39185728
40,46,163.1658493,42.24079578
40,48,162.3709217,45.08279442
40,50,160.7849393,47.90400725
40,52,158.4156288,50.69068962
40,54,155.2745333,53.42926508
40,56,151.3769558,56.10639157
40,58,146.7418851,58.7090264
40,60,141.3919027,61.2244898
40,62,135.3530731,63.64052667
40,64,128.6548169,65.94536634
40,66,121.3297674,68.12777985
40,68,113.4136115,70.17713471
40,70,104.9449159,72.08344666
40,72,95.96493915,73.83742834
40,74,86.5174309,75.43053454
40,76,76.64841841,76.85500379
40,78,66.40598254,78.10389623
40,80,55.8400234,79.17112738
40,82,45.00201728,80.05149779
40,84,33.94476585,80.7407184
40,86,22.72213893,81.23543138
40,88,11.38881204,81.53322654
40,90,0,81.63265306
50,2,17.79501881,0.155353938
50,4,35.50334208,0.620658881
50,6,53.03869664,1.393647912
50,8,70.31565199,2.470555106
50,10,87.25003656,3.846133878
50,12,103.7593477,5.513682548
50,14,119.7631538,7.465076986
50,16,135.1834858,9.690810194
50,18,149.9452174,12.18003862
50,20,163.976431,14.92063501
50,22,177.208768,17.89924743
50,24,189.5777616,21.10136439
50,26,201.0231514,24.5113855
50,28,211.4891767,28.11269748
50,30,220.9248479,31.8877551
50,32,229.2841955,35.81816666
50,34,236.5264935,39.88478358
50,36,242.6164582,44.06779373
50,38,247.52442,48.34681788
50,40,251.2264676,52.70100908
50,42,253.7045651,57.10915413
50,44,254.9466395,61.549777
50,46,254.9466395,66.00124341
50,48,253.7045651,70.44186628
50,50,251.2264676,74.85001133
50,52,247.52442,79.20420253
50,54,242.6164582,83.48322668
50,56,236.5264935,87.66623682
50,58,229.2841955,91.73285375
50,60,220.9248479,95.66326531
50,62,211.4891767,99.43832293
50,64,201.0231514,103.0396349
50,66,189.5777616,106.449656
50,68,177.208768,109.651773
50,70,163.976431,112.6303854
50,72,149.9452174,115.3709818
50,74,135.1834858,117.8602102
50,76,119.7631538,120.0859434
50,78,103.7593477,122.0373379
50,80,87.25003656,123.7048865
50,82,70.31565199,125.0804653
50,84,53.03869664,126.1573725
50,86,35.50334208,126.9303615
50,88,17.79501881,127.3956665
50,90,0,127.5510204
60,2,25.62482709,0.22370967
60,4,51.1248126,0.893748789
60,6,76.37572316,2.006852994
60,8,101.2545389,3.557599353
60,10,125.6400527,5.538432785
60,12,149.4134607,7.93970287
60,14,172.4589414,10.74971086
60,16,194.6642195,13.95476668
60,18,215.9211131,17.53925562
60,20,236.1260607,21.48571441
